dev,team,prs_opened,prs_merged,avg_pr_size_lines,lead_time_hours,cycle_time_hours,period_start,period_end
dev_001,Platform,16,14,583,54,78,2025-08-01,2025-08-31
dev_002,Web,29,21,487,67,93,2025-08-01,2025-08-31
dev_003,Data,24,19,410,70,93,2025-08-01,2025-08-31
dev_004,Mobile,20,14,683,47,67,2025-08-01,2025-08-31
dev_005,Platform,17,15,431,62,95,2025-08-01,2025-08-31
dev_006,Web,30,25,333,69,102,2025-08-01,2025-08-31
dev_007,Data,16,12,399,68,92,2025-08-01,2025-08-31
dev_008,Mobile,35,25,440,57,83,2025-08-01,2025-08-31
dev_009,Platform,28,21,687,72,101,2025-08-01,2025-08-31
dev_010,Web,32,24,395,70,99,2025-08-01,2025-08-31
dev_011,Data,20,17,354,51,76,2025-08-01,2025-08-31
dev_012,Mobile,20,17,392,69,93,2025-08-01,2025-08-31
dev_013,Platform,33,29,699,48,71,2025-08-01,2025-08-31
dev_014,Web,30,24,383,57,78,2025-08-01,2025-08-31
dev_015,Data,13,9,619,64,87,2025-08-01,2025-08-31
dev_016,Mobile,17,14,533,45,79,2025-08-01,2025-08-31
dev_017,Platform,33,28,506,52,81,2025-08-01,2025-08-31
dev_018,Web,12,10,391,58,87,2025-08-01,2025-08-31
dev_019,Data,31,26,378,60,82,2025-08-01,2025-08-31
dev_020,Mobile,30,24,432,58,87,2025-08-01,2025-08-31
dev_021,Platform,11,9,628,56,76,2025-08-01,2025-08-31
dev_022,Web,33,26,681,63,90,2025-08-01,2025-08-31
dev_023,Data,21,15,663,67,91,2025-08-01,2025-08-31
dev_024,Mobile,15,11,645,59,91,2025-08-01,2025-08-31
dev_025,Platform,11,8,617,72,95,2025-08-01,2025-08-31
dev_026,Web,30,25,473,46,73,2025-08-01,2025-08-31
dev_027,Data,10,8,589,46,72,2025-08-01,2025-08-31
dev_028,Mobile,21,17,442,67,88,2025-08-01,2025-08-31
dev_029,Platform,35,31,487,66,86,2025-08-01,2025-08-31
dev_030,Web,31,23,448,63,94,2025-08-01,2025-08-31
dev_031,Data,21,16,440,69,99,2025-08-01,2025-08-31
dev_032,Mobile,34,29,347,70,93,2025-08-01,2025-08-31
dev_033,Platform,26,19,568,66,93,2025-08-01,2025-08-31
dev_034,Web,19,14,677,70,101,2025-08-01,2025-08-31
dev_035,Data,25,19,556,70,91,2025-08-01,2025-08-31
dev_036,Mobile,24,18,583,66,88,2025-08-01,2025-08-31
dev_037,Platform,24,21,683,61,92,2025-08-01,2025-08-31
dev_038,Web,28,24,663,64,84,2025-08-01,2025-08-31
dev_039,Data,21,17,671,54,74,2025-08-01,2025-08-31
dev_040,Mobile,32,28,414,50,82,2025-08-01,2025-08-31
dev_041,Platform,29,25,474,59,81,2025-08-01,2025-08-31
dev_042,Web,34,25,680,66,96,2025-08-01,2025-08-31
dev_043,Data,12,11,407,55,79,2025-08-01,2025-08-31
dev_044,Mobile,14,11,312,72,103,2025-08-01,2025-08-31
dev_045,Platform,28,24,455,49,71,2025-08-01,2025-08-31
dev_046,Web,16,14,650,45,65,2025-08-01,2025-08-31
dev_047,Data,30,23,654,52,72,2025-08-01,2025-08-31
dev_048,Mobile,18,13,301,65,92,2025-08-01,2025-08-31
dev_049,Platform,16,12,517,72,101,2025-08-01,2025-08-31
dev_050,Web,27,21,437,56,86,2025-08-01,2025-08-31
dev_051,Data,13,11,317,56,87,2025-08-01,2025-08-31
dev_052,Mobile,34,30,509,49,81,2025-08-01,2025-08-31
dev_053,Platform,23,16,644,51,83,2025-08-01,2025-08-31
dev_054,Web,27,22,330,48,79,2025-08-01,2025-08-31
dev_055,Data,35,27,543,50,84,2025-08-01,2025-08-31
dev_056,Mobile,18,13,562,57,90,2025-08-01,2025-08-31
dev_057,Platform,35,25,306,64,85,2025-08-01,2025-08-31
dev_058,Web,30,23,505,59,91,2025-08-01,2025-08-31
dev_059,Data,11,10,556,47,69,2025-08-01,2025-08-31
dev_060,Mobile,29,22,565,67,88,2025-08-01,2025-08-31
dev_061,Platform,24,19,376,52,74,2025-08-01,2025-08-31
dev_062,Web,16,13,563,64,90,2025-08-01,2025-08-31
dev_063,Data,21,16,646,60,80,2025-08-01,2025-08-31
dev_064,Mobile,17,15,596,57,86,2025-08-01,2025-08-31
dev_065,Platform,24,21,583,62,89,2025-08-01,2025-08-31
dev_066,Web,12,9,426,72,104,2025-08-01,2025-08-31
dev_067,Data,23,18,283,54,83,2025-08-01,2025-08-31
dev_068,Mobile,26,20,314,63,92,2025-08-01,2025-08-31
dev_069,Platform,13,10,471,61,90,2025-08-01,2025-08-31
dev_070,Web,27,19,328,68,101,2025-08-01,2025-08-31
dev_071,Data,17,14,296,63,84,2025-08-01,2025-08-31
dev_072,Mobile,13,10,451,72,94,2025-08-01,2025-08-31
dev_073,Platform,11,8,499,70,98,2025-08-01,2025-08-31
dev_074,Web,15,11,437,67,93,2025-08-01,2025-08-31
dev_075,Data,31,27,325,70,93,2025-08-01,2025-08-31
dev_076,Mobile,19,14,652,49,78,2025-08-01,2025-08-31
dev_077,Platform,13,9,285,70,94,2025-08-01,2025-08-31
dev_078,Web,31,25,378,65,86,2025-08-01,2025-08-31
dev_079,Data,27,24,659,67,99,2025-08-01,2025-08-31
dev_080,Mobile,35,26,512,53,83,2025-08-01,2025-08-31
dev_081,Platform,21,18,316,56,88,2025-08-01,2025-08-31
dev_082,Web,11,9,559,65,92,2025-08-01,2025-08-31
dev_083,Data,19,14,628,45,68,2025-08-01,2025-08-31
dev_084,Mobile,13,11,581,70,98,2025-08-01,2025-08-31
dev_085,Platform,23,18,460,70,94,2025-08-01,2025-08-31
dev_086,Web,25,21,374,45,77,2025-08-01,2025-08-31
dev_087,Data,24,20,378,59,87,2025-08-01,2025-08-31
dev_088,Mobile,17,14,467,46,69,2025-08-01,2025-08-31
dev_089,Platform,23,17,395,66,95,2025-08-01,2025-08-31
dev_090,Web,32,28,470,60,84,2025-08-01,2025-08-31
dev_091,Data,34,26,532,69,97,2025-08-01,2025-08-31
dev_092,Mobile,17,13,695,52,79,2025-08-01,2025-08-31
dev_093,Platform,30,21,440,57,79,2025-08-01,2025-08-31
dev_094,Web,25,20,535,65,85,2025-08-01,2025-08-31
dev_095,Data,22,18,602,45,67,2025-08-01,2025-08-31
dev_096,Mobile,27,19,407,60,83,2025-08-01,2025-08-31
dev_097,Platform,24,19,297,51,72,2025-08-01,2025-08-31
dev_098,Web,30,22,560,49,69,2025-08-01,2025-08-31
dev_099,Data,33,27,502,66,92,2025-08-01,2025-08-31
dev_100,Mobile,35,26,333,67,94,2025-08-01,2025-08-31
dev_101,Platform,34,28,337,47,73,2025-08-01,2025-08-31
dev_102,Web,22,17,602,56,89,2025-08-01,2025-08-31
dev_103,Data,18,16,639,70,94,2025-08-01,2025-08-31
dev_104,Mobile,24,17,453,60,91,2025-08-01,2025-08-31
dev_105,Platform,22,17,559,63,83,2025-08-01,2025-08-31
dev_106,Web,10,7,393,49,75,2025-08-01,2025-08-31
dev_107,Data,34,30,567,66,98,2025-08-01,2025-08-31
dev_108,Mobile,16,14,621,69,95,2025-08-01,2025-08-31
dev_109,Platform,18,14,430,58,86,2025-08-01,2025-08-31
dev_110,Web,33,27,406,72,94,2025-08-01,2025-08-31
dev_111,Data,10,9,434,49,77,2025-08-01,2025-08-31
dev_112,Mobile,21,17,665,59,92,2025-08-01,2025-08-31
dev_113,Platform,17,14,552,61,81,2025-08-01,2025-08-31
dev_114,Web,33,25,383,58,78,2025-08-01,2025-08-31
dev_115,Data,20,14,696,64,97,2025-08-01,2025-08-31
dev_116,Mobile,28,25,672,49,72,2025-08-01,2025-08-31
dev_117,Platform,26,23,578,56,84,2025-08-01,2025-08-31
dev_118,Web,17,14,525,60,85,2025-08-01,2025-08-31
dev_119,Data,12,9,455,70,102,2025-08-01,2025-08-31
dev_120,Mobile,12,9,318,70,100,2025-08-01,2025-08-31
